MOF,MOFid,CO2_capacity_001,CO2_capacity_005,CO2_capacity_01,CO2_capacity_05,CO2_capacity_25,metal_node,organic_linker
hMOF-1002215,[O-]C(=O)C(=O)[O-].[O-]C(=O)C=C(C=C(C(=O)[O-])O)O.[O].[V] MOFid-v1.rna.cat0,0.0536181,0.273801,0.544113,1.78494,4.02104,[V],"['[O-]C(=O)C(=O)[O-]', '[O-]C(=O)C=C(C=C(C(=O)[O-])O)O', '[O]']"
hMOF-6000073,N=Nc1cc(ccc1C(=O)[O-])c1ccc(cc1)C(=O)[O-].[O-]C(=O)C#CC#CC(=O)[O-].[O].[V] MOFid-v1.rna.cat1;6000073,0.0177692,0.0653859,0.143663,0.476864,1.25534,[V],"['N=Nc1cc(ccc1C(=O)[O-])c1ccc(cc1)C(=O)[O-]', '[O-]C(=O)C#CC#CC(=O)[O-]', '[O]']"
hMOF-6000741,Nc1cc(ccc1c1ccc(cc1)c1c(N)c(N)c(c(c1N)N)C(=O)[O-])C(=O)[O-].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6000741,0.147014,0.558325,0.918199,2.25975,5.19492,[V],"['Nc1cc(ccc1c1ccc(cc1)c1c(N)c(N)c(c(c1N)N)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)C#CC#CC#CC(=O)[O-]', '[O]']"
hMOF-6002858,CCCO[C]1[C](O[CH2])C2(C1(OCCC)C(C2[CH])[C]C(=O)[O-])C(=O)[O-].CCCOc1c(ccc(c1OCCC)C#CC(=O)[O-])C#CC(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6002858,0.0919446,0.473485,1.03392,3.81434,5.20243,[V],"['CCCO[C]1[C](O[CH2])C2(C1(OCCC)C(C2[CH])[C]C(=O)[O-])C(=O)[O-]', 'CCCOc1c(ccc(c1OCCC)C#CC(=O)[O-])C#CC(=O)[O-]', '[O]']"
hMOF-6002049,N=NC1C(N=N)C2(C(=O)[O-])C(CC1(CC2(N=N)N=N)C(=O)[O-])N=N.N=NC1CC2(C(=O)[O-])C(C(C1(CC2(N=N)N=N)C(=O)[O-])N=N)N=N.[O-]C(=O)C#CC(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6002049,0.0199701,0.111554,0.208505,0.720965,1.44719,[V],"['N=NC1C(N=N)C2(C(=O)[O-])C(CC1(CC2(N=N)N=N)C(=O)[O-])N=N', 'N=NC1CC2(C(=O)[O-])C(C(C1(CC2(N=N)N=N)C(=O)[O-])N=N)N=N', '[O-]C(=O)C#CC(=O)[O-]', '[O]']"
hMOF-1003050,COc1c(OC)c(cc2c1ccc1c2cc(c2c1cc(cc2OC)C(=O)[O-])OC)C(=O)[O-].[O-]C(=O)C=CC(=O)[O-].[O].[V] MOFid-v1.rna.cat0,1.05539,1.62293,1.98987,3.19237,4.39285,[V],"['COc1c(OC)c(cc2c1ccc1c2cc(c2c1cc(cc2OC)C(=O)[O-])OC)C(=O)[O-]', '[O-]C(=O)C=CC(=O)[O-]', '[O]']"
hMOF-6002668,[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C#CC12C(N)C(N)(N)C(C(C1N)(N)N)(CC2(N)N)C#CC(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6002668,0.0098744,0.0444348,0.0983642,0.464476,2.59602,[V],"['[O-]C(=O)C#CC#CC#CC(=O)[O-]', '[O-]C(=O)C#CC12C(N)C(N)(N)C(C(C1N)(N)N)(CC2(N)N)C#CC(=O)[O-]', '[O]']"
hMOF-6002468,Fc1cc(ccc1N=Nc1ccc(c(c1)F)C(=O)[O-])C(=O)[O-].[O-]C(=O)C#CC12C(F)C(F)C(C(C1F)(F)F)(C(C2(F)F)(F)F)C#CC(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6002468,0.0318332,0.13977,0.273617,1.41206,6.02313,[V],"['Fc1cc(ccc1N=Nc1ccc(c(c1)F)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)C#CC12C(F)C(F)C(C(C1F)(F)F)(C(C2(F)F)(F)F)C#CC(=O)[O-]', '[O]']"
hMOF-6001920,[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C#CC=CC#CC(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6001920,0.00356312,0.0386461,0.0657807,0.307799,1.7695,[V],"['[O-]C(=O)C#CC#CC#CC(=O)[O-]', '[O-]C(=O)C#CC=CC#CC(=O)[O-]', '[O]']"
hMOF-6002573,[O-]C(=O)C#CC12C(C)C(C)C(C(C1C)(C)C)(C(C2C)(C)C)C#CC(=O)[O-].[O-]C(=O)c1cc(C)c2c(c1C)ccc(c2C)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6002573,0.816381,1.71631,2.09386,4.46649,7.86562,[V],"['[O-]C(=O)C#CC12C(C)C(C)C(C(C1C)(C)C)(C(C2C)(C)C)C#CC(=O)[O-]', '[O-]C(=O)c1cc(C)c2c(c1C)ccc(c2C)C(=O)[O-]', '[O]']"
hMOF-6003069,[O-]C(=O)C12C3C4C2C2(C1C3C42C(=O)[O-])O.[O-]C(=O)c1cc2c3c(O)c(O)c4c(c3cc(c2c(c1O)O)O)c(O)c(cc4O)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6003069,0.622131,1.45256,1.77684,2.28528,3.04068,[V],"['[O-]C(=O)C12C3C4C2C2(C1C3C42C(=O)[O-])O', '[O-]C(=O)c1cc2c3c(O)c(O)c4c(c3cc(c2c(c1O)O)O)c(O)c(cc4O)C(=O)[O-]', '[O]']"
hMOF-6003094,N#CC12C3(C(=O)[O-])C4C1(C#N)C1(C2(C3(C41)C#N)C#N)C(=O)[O-].[O-]C(=O)C#CC#CC(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6003094,0.0133904,0.0624884,0.118058,0.638721,2.52632,[V],"['N#CC12C3(C(=O)[O-])C4C1(C#N)C1(C2(C3(C41)C#N)C#N)C(=O)[O-]', '[O-]C(=O)C#CC#CC(=O)[O-]', '[O]']"
hMOF-6002320,[O-]C(=O)C12C(O)CC(C(C1O)O)(C(C2O)(O)O)C(=O)[O-].[O-]C(=O)C12CC(O)(O)C(C(C1O)(O)O)(C(C2(O)O)O)C(=O)[O-].[O-]C(=O)C12CC(O)(O)C(C(C1O)O)(C(C2(O)O)(O)O)C(=O)[O-].[O-]C(=O)C12CC(O)C(C(C1)O)(C(C2(O)O)(O)O)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6002320,0.124705,0.428512,0.634688,1.18007,1.70089,[V],"['[O-]C(=O)C12C(O)CC(C(C1O)O)(C(C2O)(O)O)C(=O)[O-]', '[O-]C(=O)C12CC(O)(O)C(C(C1O)(O)O)(C(C2(O)O)O)C(=O)[O-]', '[O-]C(=O)C12CC(O)(O)C(C(C1O)O)(C(C2(O)O)(O)O)C(=O)[O-]', '[O-]C(=O)C12CC(O)C(C(C1)O)(C(C2(O)O)(O)O)C(=O)[O-]', '[O]']"
hMOF-1003003,Brc1cc(C(=O)[O-])c(cc1C#Cc1ccc(cc1)C(=O)[O-])Br.[O-]C(=O)C1=C(Br)c2c(C=[C]1)ccc1c2ccc2c1c(Br)c(cc2)C(=O)[O-].[O].[V] MOFid-v1.rna.cat1,0.00457374,0.038905,0.093564,0.297293,0.592215,[V],"['Brc1cc(C(=O)[O-])c(cc1C#Cc1ccc(cc1)C(=O)[O-])Br', '[O-]C(=O)C1=C(Br)c2c(C=[C]1)ccc1c2ccc2c1c(Br)c(cc2)C(=O)[O-]', '[O]']"
hMOF-6003133,[O-]C(=O)C#CC=CC#CC(=O)[O-].[O-]C(=O)C12C3C4C2(C2(C1C3(C42C(=O)[O-])N)N)N.[O].[V] MOFid-v1.rna.cat0;6003133,0.00988414,0.0416546,0.0807205,0.454435,2.67766,[V],"['[O-]C(=O)C#CC=CC#CC(=O)[O-]', '[O-]C(=O)C12C3C4C2(C2(C1C3(C42C(=O)[O-])N)N)N', '[O]']"
hMOF-6004482,Clc1c(ccc(c1Cl)C(=O)[O-])c1nnc(nn1)c1ccc(cc1)C(=O)[O-].[O-]C(=O)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6004482,0.120496,0.41202,0.708249,1.36208,2.34017,[V],"['Clc1c(ccc(c1Cl)C(=O)[O-])c1nnc(nn1)c1ccc(cc1)C(=O)[O-]', '[O-]C(=O)C(=O)[O-]', '[O]']"
hMOF-6002478,[O-]C(=O)C#CC12C(CC(C([C]1C1=CC=CC=[C]1)C1[CH]C=CC=C1)(C(C2C1=CC=CC[CH]1)c1ccccc1)C#CC(=O)[O-])c1ccccc1.[O-]C(=O)c1ccc(cc1)N=Nc1ccc(cc1c1ccccc1)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6002478,0.0472614,0.281755,0.575297,1.87697,4.8159,[V],"['[O-]C(=O)C#CC12C(CC(C([C]1C1=CC=CC=[C]1)C1[CH]C=CC=C1)(C(C2C1=CC=CC[CH]1)c1ccccc1)C#CC(=O)[O-])c1ccccc1', '[O-]C(=O)c1ccc(cc1)N=Nc1ccc(cc1c1ccccc1)C(=O)[O-]', '[O]']"
hMOF-6002685,[O-]C(=O)C#CC12CC(Br)C([CH]C1Br)([C](C2Br)Br)C#CC(=O)[O-].[O-]C(=O)C#CC=CC#CC(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6002685,0.010976,0.0443974,0.085095,0.438054,2.55865,[V],"['[O-]C(=O)C#CC12CC(Br)C([CH]C1Br)([C](C2Br)Br)C#CC(=O)[O-]', '[O-]C(=O)C#CC=CC#CC(=O)[O-]', '[O]']"
hMOF-1003128,[O-]C(=O)c1ccc(c2c1c(N)ccc2)C(=O)[O-].[O-]C(=O)c1ccc2c(c1)c1c(N)c(N)c3c(c1cc2N)c(N)c(cc3)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0,1.78316,3.74212,4.61717,6.083,6.95771,[V],"['[O-]C(=O)c1ccc(c2c1c(N)ccc2)C(=O)[O-]', '[O-]C(=O)c1ccc2c(c1)c1c(N)c(N)c3c(c1cc2N)c(N)c(cc3)C(=O)[O-]', '[O]']"
hMOF-1002719,[O-]C(=O)C=CC(=CC(=O)[O-])N.[O-]C(=O)c1c2ccccc2c(c2c1c(N)ccc2N)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0,1.49084,2.50931,2.74271,3.43733,4.34157,[V],"['[O-]C(=O)C=CC(=CC(=O)[O-])N', '[O-]C(=O)c1c2ccccc2c(c2c1c(N)ccc2N)C(=O)[O-]', '[O]']"
hMOF-6003189,[O-]C(=O)C12C3C4C2(C2(C1(C3C42C(=O)[O-])C)C)C.[O-]C(=O)C12C3C4C2(C2(C1C3(C42C(=O)[O-])C)C)C.[O].[V] MOFid-v1.rna.cat0;6003189,0.0175485,0.100904,0.196167,0.953258,1.72435,[V],"['[O-]C(=O)C12C3C4C2(C2(C1(C3C42C(=O)[O-])C)C)C', '[O-]C(=O)C12C3C4C2(C2(C1C3(C42C(=O)[O-])C)C)C', '[O]']"
hMOF-6000474,[O-]C(=O)C#CC#CC(=O)[O-].[O-]C(=O)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6000474,0.0209521,0.109649,0.217902,1.07764,4.372,[V],"['[O-]C(=O)C#CC#CC(=O)[O-]', '[O-]C(=O)C(=O)[O-]', '[O]']"
hMOF-6003422,N=NC12C3C4C2(C2(C1C3(C42N=N)C#CC(=O)[O-])N=N)C#CC(=O)[O-].[O-]C(=O)C=CC=CC(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6003422,0.0247414,0.11511,0.21156,1.10602,4.42451,[V],"['N=NC12C3C4C2(C2(C1C3(C42N=N)C#CC(=O)[O-])N=N)C#CC(=O)[O-]', '[O-]C(=O)C=CC=CC(=O)[O-]', '[O]']"
hMOF-6003475,COC12C3C4C2(C2(C1C3(C42OC)C#CC(=O)[O-])OC)C#CC(=O)[O-].[O-]C(=O)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6003475,0.0249922,0.128142,0.195167,0.846555,1.6763,[V],"['COC12C3C4C2(C2(C1C3(C42OC)C#CC(=O)[O-])OC)C#CC(=O)[O-]', '[O-]C(=O)C(=O)[O-]', '[O]']"
hMOF-6002087,Fc1cc(ccc1N=Nc1cc(F)c(c(c1F)F)C(=O)[O-])C(=O)[O-].[O-]C(=O)C12C(F)CC(CC1F)(C(C2F)(F)F)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6002087,0.0767872,0.480783,1.01155,3.59667,6.98714,[V],"['Fc1cc(ccc1N=Nc1cc(F)c(c(c1F)F)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)C12C(F)CC(CC1F)(C(C2F)(F)F)C(=O)[O-]', '[O]']"
hMOF-6001126,[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C(=CC=CC(=O)[O-])OCCC.[O].[V] MOFid-v1.rna.cat0;6001126,0.0152397,0.0690868,0.13919,0.718807,4.52214,[V],"['[O-]C(=O)C#CC#CC#CC(=O)[O-]', '[O-]C(=O)C(=CC=CC(=O)[O-])OCCC', '[O]']"
hMOF-6002672,[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C#CC12CCC(C(C1)O)(C(C2O)O)C#CC(=O)[O-].[O].[V] MOFid-v1.rna.cat1;6002672,0.125596,0.598129,1.04294,2.86046,4.45931,[V],"['[O-]C(=O)C#CC#CC#CC(=O)[O-]', '[O-]C(=O)C#CC12CCC(C(C1)O)(C(C2O)O)C#CC(=O)[O-]', '[O]']"
hMOF-1002915,N#Cc1c2c(ccc3c2cc(cc3)C(=O)[O-])c2c(c1C#N)c(C#N)cc(c2)C(=O)[O-].N#Cc1cc(C(=O)[O-])c(cc1c1ccc(cc1C#N)C(=O)[O-])C#N.[O].[V] MOFid-v1.rna.cat0,0.485748,2.0979,2.9452,5.90099,9.42498,[V],"['N#Cc1c2c(ccc3c2cc(cc3)C(=O)[O-])c2c(c1C#N)c(C#N)cc(c2)C(=O)[O-]', 'N#Cc1cc(C(=O)[O-])c(cc1c1ccc(cc1C#N)C(=O)[O-])C#N', '[O]']"
hMOF-1001228,CCCOc1cc(C#CC(=O)[O-])cc(c1C#CC(=O)[O-])OCCC.[CH2]COC(=CC(=O)[O-])C=CC(=O)[O-].[CH3].[O].[V] MOFid-v1.rna.cat0,0.270115,1.00834,1.6877,4.52381,7.0633,[V],"['CCCOc1cc(C#CC(=O)[O-])cc(c1C#CC(=O)[O-])OCCC', '[CH2]COC(=CC(=O)[O-])C=CC(=O)[O-]', '[CH3]', '[O]']"
hMOF-6004230,[O-]C(=O)C1=[C]C=C(C=[C]1)C1=NN2C(=NN1N1N=C(N2N=C1c1c(Br)cc(cc1Br)C(=O)[O-])c1cc(Br)c(c(c1Br)Br)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[O].[V] MOFid-v1.UNKNOWN.cat0;6004230,0.399521,1.16964,1.61571,2.60758,3.26529,[V],"['[O-]C(=O)C1=[C]C=C(C=[C]1)C1=NN2C(=NN1N1N=C(N2N=C1c1c(Br)cc(cc1Br)C(=O)[O-])c1cc(Br)c(c(c1Br)Br)C(=O)[O-])c1ccc(cc1)C(=O)[O-]', '[O]']"
hMOF-6001268,[O-]C(=O)C#CC#CC#CC(=O)[O-].N=Nc1cc(N=N)c2c(c1)c(C(=O)[O-])c(c(c2C(=O)[O-])N=N)N=N.[O].[V] MOFid-v1.UNKNOWN.cat0;6001268,0.30195,1.03868,1.35555,2.89816,5.29219,[V],"['[O-]C(=O)C#CC#CC#CC(=O)[O-]', 'N=Nc1cc(N=N)c2c(c1)c(C(=O)[O-])c(c(c2C(=O)[O-])N=N)N=N', '[O]']"
hMOF-6002022,[O-]C(=O)C12CCC(CC1)(CC2)C(=O)[O-].[O-]C(=O)c1ccc(c2c1CC2)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6002022,0.0427695,0.275358,0.506025,2.00151,4.16714,[V],"['[O-]C(=O)C12CCC(CC1)(CC2)C(=O)[O-]', '[O-]C(=O)c1ccc(c2c1CC2)C(=O)[O-]', '[O]']"
hMOF-6002895,[O-]C(=O)C12C3C4(C2C2(C1C3(C42C(=O)[O-])N)N)N.[O-]C(=O)C12C3C4C2C2(C1C3C42C(=O)[O-])N.[O].[V] MOFid-v1.rna.cat0;6002895,0.0124082,0.0637827,0.126477,0.538344,1.62047,[V],"['[O-]C(=O)C12C3C4(C2C2(C1C3(C42C(=O)[O-])N)N)N', '[O-]C(=O)C12C3C4C2C2(C1C3C42C(=O)[O-])N', '[O]']"
hMOF-6002271,[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C12CCC(CC1Cl)(C(C2Cl)(Cl)Cl)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6002271,0.0095552,0.083608,0.151291,0.758046,3.48984,[V],"['[O-]C(=O)C#CC#CC#CC(=O)[O-]', '[O-]C(=O)C12CCC(CC1Cl)(C(C2Cl)(Cl)Cl)C(=O)[O-]', '[O]']"
hMOF-6005055,ClO[C]1N(C2=[C]C(=C(C(=C2)Cl)C(=O)[O-])Cl)C(=O)c2c3c1cc(Cl)c1c3c(cc2Cl)c2c3c1cc(Cl)c1c3c(c(c2)Cl)C(=O)N(C1=O)c1ccc(c(c1)Cl)C(=O)[O-].Clc1c(C#Cc2cc(Cl)c(c(c2)Cl)C(=O)[O-])ccc(c1Cl)C(=O)[O-].[O].[V] MOFid-v1.rna.cat1;6005055,0.634399,1.5965,1.93831,2.82324,3.3582,[V],"['ClO[C]1N(C2=[C]C(=C(C(=C2)Cl)C(=O)[O-])Cl)C(=O)c2c3c1cc(Cl)c1c3c(cc2Cl)c2c3c1cc(Cl)c1c3c(c(c2)Cl)C(=O)N(C1=O)c1ccc(c(c1)Cl)C(=O)[O-]', 'Clc1c(C#Cc2cc(Cl)c(c(c2)Cl)C(=O)[O-])ccc(c1Cl)C(=O)[O-]', '[O]']"
hMOF-6004631,[O-]C(=O)C#CC#CC(=O)[O-].[O-]C(=O)C1=[C]C(=C(C=[C]1)c1nnc(nn1)c1cc(Cl)c(cc1Cl)C(=O)[O-])Cl.[O-]C(=O)C1=[C]C=C(C(=[C]1)Cl)c1nnc(nn1)c1cc(Cl)c(cc1Cl)C(=O)[O-].[O].[V] MOFid-v1.rna.cat1;6004631,0.0696828,0.27496,0.538361,1.3443,1.92308,[V],"['[O-]C(=O)C#CC#CC(=O)[O-]', '[O-]C(=O)C1=[C]C(=C(C=[C]1)c1nnc(nn1)c1cc(Cl)c(cc1Cl)C(=O)[O-])Cl', '[O-]C(=O)C1=[C]C=C(C(=[C]1)Cl)c1nnc(nn1)c1cc(Cl)c(cc1Cl)C(=O)[O-]', '[O]']"
hMOF-6003326,N=NC12C3C4C2(C2C1C3(C42)C#CC(=O)[O-])C#CC(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6003326,0.0174479,0.0926803,0.184798,0.967327,4.3434,[V],"['N=NC12C3C4C2(C2C1C3(C42)C#CC(=O)[O-])C#CC(=O)[O-]', '[O]']"
hMOF-6001148,[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC=CC(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6001148,0.016127,0.0705555,0.144279,0.751632,3.35873,[V],"['[O-]C(=O)C#CC#CC#CC(=O)[O-]', '[O-]C(=O)C=CC=CC(=O)[O-]', '[O]']"
hMOF-6003776,[O-]C(=O)C1=CC(=C([C]=C1)c1ccc(c(c1)O)C(=O)[O-])[O].[O-]C(=O)c1ccc(cc1)C=C(C1=[C]C(=C(C(=C1[O])O)C(=O)[O-])O)O.[O].[V] MOFid-v1.rna.cat0;6003776,0.0287961,0.13731,0.270716,1.35992,6.22907,[V],"['[O-]C(=O)C1=CC(=C([C]=C1)c1ccc(c(c1)O)C(=O)[O-])[O]', '[O-]C(=O)c1ccc(cc1)C=C(C1=[C]C(=C(C(=C1[O])O)C(=O)[O-])O)O', '[O]']"
hMOF-1002500,Brc1cc2c(C(=O)[O-])c(Br)cc(c2cc1Br)C(=O)[O-].[O-]C(=O)C1=C[C]=C(C(=[C]1)Br)C(=O)[O-].[O-]C(=O)C1=C[C]=C([C]=[C]1)C(=O)[O-].BrBr.[O-]C(=O)c1ccc(c(c1)Br)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0,0.16653,0.680086,1.02321,2.08747,2.80301,[V],"['Brc1cc2c(C(=O)[O-])c(Br)cc(c2cc1Br)C(=O)[O-]', '[O-]C(=O)C1=C[C]=C(C(=[C]1)Br)C(=O)[O-]', '[O-]C(=O)C1=C[C]=C([C]=[C]1)C(=O)[O-]', 'BrBr', '[O-]C(=O)c1ccc(c(c1)Br)C(=O)[O-]', '[O]']"
hMOF-6004573,[O-]C(=O)c1ccc(cc1)C1=NN2N3N=C(N(N1N=C2c1ccc(cc1)C(=O)[O-])N=C3c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[O].[V] MOFid-v1.UNKNOWN.cat0;6004573,0.10525,0.508092,0.900602,3.36398,6.66056,[V],"['[O-]C(=O)c1ccc(cc1)C1=NN2N3N=C(N(N1N=C2c1ccc(cc1)C(=O)[O-])N=C3c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]', '[O]']"
hMOF-1003019,CCCOc1cc(C(=O)[O-])c(c2c1c(OCCC)c(OCCC)c1c2cc(c2c1cc(cc2)C(=O)[O-])OCCC)OCCC.CCCOc1cc(C(=O)[O-])c(cc1C#Cc1ccc(cc1O[CH2])C(=O)[O-])OCCC.[O].[V] MOFid-v1.rna.cat0,1.05063,2.02734,2.73399,4.79382,6.60271,[V],"['CCCOc1cc(C(=O)[O-])c(c2c1c(OCCC)c(OCCC)c1c2cc(c2c1cc(cc2)C(=O)[O-])OCCC)OCCC', 'CCCOc1cc(C(=O)[O-])c(cc1C#Cc1ccc(cc1O[CH2])C(=O)[O-])OCCC', '[O]']"
hMOF-6001984,CCCC1CC2(C(=O)[O-])C(CC1(CC2CCC)C(=O)[O-])CCC.CCCc1cc(ccc1C(=O)[O-])c1ccc(c(c1CCC)CCC)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6001984,0.468085,1.74609,2.43933,3.59852,4.23661,[V],"['CCCC1CC2(C(=O)[O-])C(CC1(CC2CCC)C(=O)[O-])CCC', 'CCCc1cc(ccc1C(=O)[O-])c1ccc(c(c1CCC)CCC)C(=O)[O-]', '[O]']"
hMOF-1000354,CCCc1cc(C#CC(=O)[O-])ccc1C#CC(=O)[O-].[O-]C(=O)C#CC(=O)[O-].[O].[V] MOFid-v1.rna.cat0,0.0267416,0.164448,0.355389,1.68947,7.05254,[V],"['CCCc1cc(C#CC(=O)[O-])ccc1C#CC(=O)[O-]', '[O-]C(=O)C#CC(=O)[O-]', '[O]']"
hMOF-6001616,[CH2]OC(=C(C=C=[C](=O)[O-])OC)C#CC(=O)[O-].[O-]C(=O)C#CC=CC#CC(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6001616,0.0123039,0.0504218,0.10591,0.513386,2.9744,[V],"['[CH2]OC(=C(C=C=[C](=O)[O-])OC)C#CC(=O)[O-]', '[O-]C(=O)C#CC=CC#CC(=O)[O-]', '[O]']"
hMOF-6001811,N=Nc1cc2[N][NH]3OC3(c3c2c(c1)c(C(=O)[O-])c1c3cc(cc1N=N)N=N)[O].[O-]C(=O)C#CC=CC#CC(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6001811,0.769662,1.80338,2.55965,4.17373,5.6357,[V],"['N=Nc1cc2[N][NH]3OC3(c3c2c(c1)c(C(=O)[O-])c1c3cc(cc1N=N)N=N)[O]', '[O-]C(=O)C#CC=CC#CC(=O)[O-]', '[O]']"
hMOF-6001689,OC(=CC#CC(=O)[O-])C#CC(=O)[O-].[O-]C(=O)C=CC=C(C(=O)[O-])O.[O].[V] MOFid-v1.rna.cat1;6001689,0.000267054,0.00120174,0.0020029,0.0185602,0.0389899,[V],"['OC(=CC#CC(=O)[O-])C#CC(=O)[O-]', '[O-]C(=O)C=CC=C(C(=O)[O-])O', '[O]']"
hMOF-6004607,[O-]C(=O)c1ccc(cc1)c1nnc(nn1)c1ccc(cc1)C(=O)[O-].[O-]C(=O)c1ccc2c(c1)c1ccc3c(c1cc2)cc(cc3)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6004607,0.246128,0.880886,1.36289,3.04674,6.79088,[V],"['[O-]C(=O)c1ccc(cc1)c1nnc(nn1)c1ccc(cc1)C(=O)[O-]', '[O-]C(=O)c1ccc2c(c1)c1ccc3c(c1cc2)cc(cc3)C(=O)[O-]', '[O]']"
hMOF-6004557,[O-]C(=O)C1=[C]C(=C(C=[C]1)C1=NN2C(=NN1N1N=C(N2N=C1c1cc(Cl)c(cc1Cl)C(=O)[O-])c1cc(Cl)c(cc1Cl)C(=O)[O-])C1=[C]C(=C(C=[C]1)C(=O)[O-])Cl)Cl.[O].[V] MOFid-v1.UNKNOWN.cat0;6004557,0.398207,1.66719,2.46232,4.14905,5.31731,[V],"['[O-]C(=O)C1=[C]C(=C(C=[C]1)C1=NN2C(=NN1N1N=C(N2N=C1c1cc(Cl)c(cc1Cl)C(=O)[O-])c1cc(Cl)c(cc1Cl)C(=O)[O-])C1=[C]C(=C(C=[C]1)C(=O)[O-])Cl)Cl', '[O]']"
hMOF-6004547,[O-]C(=O)c1ccc(cc1)C1=NN2N3N=C(N(N1N=C2c1ccc(cc1)C(=O)[O-])N=C3c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[O].[V] MOFid-v1.UNKNOWN.cat0;6004547,0.0971791,0.516809,0.954034,3.52791,6.61585,[V],"['[O-]C(=O)c1ccc(cc1)C1=NN2N3N=C(N(N1N=C2c1ccc(cc1)C(=O)[O-])N=C3c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-]', '[O]']"
hMOF-6003029,[O-]C(=O)C12C3(C)C4C2(C2(C1(C3C42C(=O)[O-])C)C)C.[O-]C(=O)C12C3C4C1C1(C2C3(C41C(=O)[O-])C)C.[O].[V] MOFid-v1.rna.cat0;6003029,0.00125346,0.00731186,0.0108633,0.0808483,0.360997,[V],"['[O-]C(=O)C12C3(C)C4C2(C2(C1(C3C42C(=O)[O-])C)C)C', '[O-]C(=O)C12C3C4C1C1(C2C3(C41C(=O)[O-])C)C', '[O]']"
hMOF-6004446,Brc1cc(C(=O)[O-])c(cc1c1nnc(nn1)c1cc(Br)c(c(c1Br)Br)C(=O)[O-])Br.Brc1cc(ccc1c1nnc(nn1)c1ccc(c(c1)Br)C(=O)[O-])C(=O)[O-].[O].[V] MOFid-v1.rna,0.0488094,0.243764,0.386518,1.35272,3.70141,[V],"['Brc1cc(C(=O)[O-])c(cc1c1nnc(nn1)c1cc(Br)c(c(c1Br)Br)C(=O)[O-])Br', 'Brc1cc(ccc1c1nnc(nn1)c1ccc(c(c1)Br)C(=O)[O-])C(=O)[O-]', '[O]']"
hMOF-6004769,COc1cc(cc(c1C(=O)[O-])OC)c1nnc(nn1)c1ccc(cc1)C(=O)[O-].COc1cc(cc(c1c1nnc(nn1)c1ccc(c(c1)OC)C(=O)[O-])OC)C(=O)[O-].[O].[V] MOFid-v1.rna.cat1;6004769,0.113646,0.52753,0.80458,2.05516,3.73152,[V],"['COc1cc(cc(c1C(=O)[O-])OC)c1nnc(nn1)c1ccc(cc1)C(=O)[O-]', 'COc1cc(cc(c1c1nnc(nn1)c1ccc(c(c1)OC)C(=O)[O-])OC)C(=O)[O-]', '[O]']"
